,Expected Return,Volatility,Max Drawdown,Sharpe Ratio,Sortino Ratio,Hit Rate,Average Profit,Average Loss
Long & Short Return,0.0020192463694710255,0.06588397959608537,-1.0164858365635079,0.030648518529852183,"0       0.000000
1       1.264383
2       1.272841
3       0.124486
4       1.909897
          ...   
1111    0.788272
1112   -0.066826
1113   -0.051147
1114    0.037594
1115    0.096231
Length: 1116, dtype: float64",0.47267025089605735,0.13206276522538207,-0.11130792319920414
Equal Weights Return,0.0014225401278067868,0.001622529043689676,-0.000956980435442345,0.8767424739417244,"0      0.000000
1      0.000000
2      0.000000
3      0.000000
4      0.000000
         ...   
257    2.422284
258   -0.006239
259    0.183146
260   -0.000975
261    0.351318
Length: 262, dtype: float64",0.6851145038167938,0.004222082293273848,-0.00016067403285415408
Long & Short MACD,0.00023459594983766467,0.00016909872830377014,-0.0017095790807333255,1.3873312483831035,"0      0.000000
1      0.000000
2      0.000000
3      0.000000
4      0.000000
         ...   
262    0.093904
263    0.093904
264    0.093904
265    0.075305
266    0.001480
Length: 267, dtype: float64",0.5308988764044944,0.0006555498967179167,-3.9738963161259765e-05
Equal Weights MACD,0.001807982117809634,0.057217273319324344,-1.0081741565383022,0.03159853682155478,"0      0.000000
1     -0.168668
2      0.623030
3      1.212786
4      0.580503
         ...   
823   -0.094553
824    0.493854
825   -1.048892
826   -0.450459
827   -0.256765
Length: 828, dtype: float64",0.45169082125603865,0.13648991039651664,-0.10365292166106614
Long & Short RF,-0.003710982350725876,0.049202110546951054,-0.9976785604504478,-0.07542323509038654,"0      0.000000
1      0.000000
2      0.000000
3      0.000000
4      0.000000
         ...   
233    0.160185
234    0.559134
235   -1.896561
236    0.385571
237    0.068808
Length: 238, dtype: float64",0.45903361344537813,0.11398476088405878,-0.0882964636741977
Long & Short LN,0.01436038325708683,0.06968584821114121,-0.9708368899911781,0.20607316443327622,"0      0.000000
1      0.000000
2      0.000000
3      0.000000
4      0.000000
         ...   
232    0.309416
233   -0.100087
234   -0.051890
235   -0.349358
236    0.290148
Length: 237, dtype: float64",0.43354430379746833,0.18273060418747977,-0.10360378592538766
Long & Short LDM,0.016680456218263286,0.045772959923953145,-0.8641528049698131,0.36441725083927434,"0      0.000000
1      0.000000
2      0.000000
3      0.000000
4      0.000000
         ...   
210   -0.185465
211   -0.132717
212   -0.639928
213   -0.323274
214   -0.330438
Length: 215, dtype: float64",0.45465116279069767,0.14175273572100675,-0.059178117136004384
